epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,509.209,1.57191,1.1266,1.2239,0.83044,0.79055,0.83393,0.46419,1.39017,0.85359,1.16518,0.00999072,0.00333024,0.00999072,0.00333024,0.00999072,0.00333024,0.00999072,0.00333024
2,965.776,1.50056,0.86235,1.14233,0.79991,0.76793,0.80425,0.44653,1.42554,0.92417,1.20222,0.0197433,0.00658111,0.0197433,0.00658111,0.0197433,0.00658111,0.0197433,0.00658111
3,1390.14,1.5438,0.92483,1.1668,0.81877,0.73349,0.78705,0.42403,1.4406,0.95261,1.21346,0.0292485,0.00974948,0.0292485,0.00974948,0.0292485,0.00974948,0.0292485,0.00974948
4,1804.67,1.55487,0.94151,1.17768,0.80594,0.76716,0.80453,0.44672,1.40933,0.91261,1.20934,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,2220.14,1.51243,0.88444,1.16093,0.81402,0.78048,0.82602,0.46815,1.38457,0.86425,1.18954,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,2634.3,1.487,0.84306,1.15106,0.82845,0.7823,0.83351,0.47174,1.3734,0.86115,1.18242,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,3049.44,1.47375,0.81302,1.14004,0.84363,0.80224,0.84602,0.49359,1.3565,0.82274,1.16686,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,3465.56,1.4676,0.79895,1.12924,0.86219,0.81075,0.8621,0.49982,1.33302,0.7826,1.15125,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,3877.94,1.44438,0.78007,1.12897,0.85863,0.8154,0.86474,0.50328,1.33827,0.76526,1.16087,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,4288.63,1.4401,0.77001,1.12317,0.86001,0.81774,0.86695,0.51134,1.31633,0.75631,1.14545,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
